arm,stt,stratum,n_gold,n_retrieved@5,recall@5,precision@5,f1@5,ndcg@5,n_retrieved@12,recall@12,precision@12,f1@12,ndcg@12,n_retrieved@20,recall@20,precision@20,f1@20,ndcg@20,n_retrieved@all,recall@all,precision@all,f1@all,ndcg@all,r_precision,mrr,elapsed_s
dense_vanilla,81,l41_only,4,5,0.25,0.2,0.22222222222222224,0.24630238874073,9,0.5,0.2222222222222222,0.30769230769230765,0.3638184934971571,9,0.5,0.2222222222222222,0.30769230769230765,0.3638184934971571,9,0.5,0.2222222222222222,0.30769230769230765,0.3638184934971571,0.25,0.5,0.263
dense_vanilla,82,l41_only,2,5,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.177
dense_vanilla,87,l41_only,1,5,1.0,0.2,0.33333333333333337,0.43067655807339306,7,1.0,0.14285714285714285,0.25,0.43067655807339306,7,1.0,0.14285714285714285,0.25,0.43067655807339306,7,1.0,0.14285714285714285,0.25,0.43067655807339306,0.0,0.25,0.317
dense_vanilla,90,l41_only,3,5,0.3333333333333333,0.2,0.25,0.18154179253735267,7,0.3333333333333333,0.14285714285714285,0.2,0.18154179253735267,7,0.3333333333333333,0.14285714285714285,0.2,0.18154179253735267,7,0.3333333333333333,0.14285714285714285,0.2,0.18154179253735267,0.0,0.2,0.121
dense_vanilla,91,l41_only,2,5,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.213
dense_vanilla,98,no_l41,2,5,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.232
dense_then_expand,1,no_l41,2,5,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,3.505
dense_then_expand,100,l41_only,3,5,0.0,0.0,0.0,0.0,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.14126697285982898,13,0.3333333333333333,0.07692307692307693,0.125,0.14126697285982898,13,0.3333333333333333,0.07692307692307693,0.125,0.14126697285982898,0.0,0.1111111111111111,0.094
dense_then_expand,103,mixed_l41_other,5,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.083
dense_then_expand,106,l41_only,1,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.081
dense_then_expand,108,no_l41,4,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.161
dense_then_expand,109,mixed_l41_other,2,5,0.5,0.2,0.28571428571428575,0.38685280723454163,11,1.0,0.18181818181818182,0.3076923076923077,0.6052602440527057,11,1.0,0.18181818181818182,0.3076923076923077,0.6052602440527057,11,1.0,0.18181818181818182,0.3076923076923077,0.6052602440527057,0.5,0.5,0.087
