arm,stt,citation_recall,citation_precision,citation_f1,citation_display_rate,bertscore_p,bertscore_r,bertscore_f1,latency_s,prolog_first_try_solution,repair_invoked,repair_success,pred_citation_parse_errors,record_path
graphrag,113,0.0,0.0,0.0,0.0,0.6592,0.6623,0.6608,3.74,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A113.json
graphrag,114,1.0,1.0,1.0,0.0,0.6472,0.6371,0.6421,2.66,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A114.json
graphrag,115,0.0,0.0,0.0,0.0,0.6442,0.6325,0.6383,2.41,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A115.json
graphrag,116,0.0,0.0,0.0,0.0,0.6605,0.643,0.6516,9.3,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A116.json
graphrag,117,0.0,0.0,0.0,0.0,0.6619,0.6343,0.6478,2.93,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A117.json
graphrag,118,0.0,0.0,0.0,0.0,0.6318,0.6412,0.6365,3.87,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A118.json
graphrag,119,0.0,0.0,0.0,0.0,0.7078,0.6994,0.7036,3.64,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A119.json
graphrag,12,0.0,0.0,0.0,,0.6552,0.604,0.6285,10.76,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A12.json
graphrag,120,1.0,0.3333,0.5,0.0,0.7014,0.701,0.7012,3.15,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A120.json
graphrag,121,1.0,0.5,0.6667,0.0,0.6549,0.6283,0.6413,2.48,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A121.json
graphrag,122,0.0,0.0,0.0,0.0,0.6459,0.6381,0.642,3.09,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A122.json
graphrag,123,0.0,0.0,0.0,,0.6743,0.6816,0.6779,4.6,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A123.json
